Publication,Word,Frequency,Logo
New York Times,officer,174,nytimes_logo.svg
New York Times,hindu,172,nytimes_logo.svg
New York Times,prime minister,171,nytimes_logo.svg
New York Times,american,168,nytimes_logo.svg
New York Times,nation,168,nytimes_logo.svg
New York Times,khan,167,nytimes_logo.svg
New York Times,power,166,nytimes_logo.svg
New York Times,court,165,nytimes_logo.svg
New York Times,place,163,nytimes_logo.svg
New York Times,area,163,nytimes_logo.svg
New York Times,brand,161,nytimes_logo.svg
New York Times,just,160,nytimes_logo.svg
New York Times,rana plaza,160,nytimes_logo.svg
New York Times,district,159,nytimes_logo.svg
New York Times,myanmar,156,nytimes_logo.svg
New York Times,condition,155,nytimes_logo.svg
New York Times,human,154,nytimes_logo.svg
New York Times,union,154,nytimes_logo.svg
New York Times,wage,152,nytimes_logo.svg
New York Times,news,151,nytimes_logo.svg
New York Times,arrested,151,nytimes_logo.svg
New York Times,religious,143,nytimes_logo.svg
New York Times,secular,143,nytimes_logo.svg
New York Times,organization,143,nytimes_logo.svg
New York Times,thousand,143,nytimes_logo.svg
New York Times,pakistan,137,nytimes_logo.svg
New York Times,rahman,136,nytimes_logo.svg
New York Times,report,136,nytimes_logo.svg
New York Times,body,135,nytimes_logo.svg
New York Times,used,134,nytimes_logo.svg
New York Times,awami league,134,nytimes_logo.svg
New York Times,security,133,nytimes_logo.svg
New York Times,hospital,133,nytimes_logo.svg
New York Times,national,133,nytimes_logo.svg
New York Times,child,132,nytimes_logo.svg
New York Times,charge,132,nytimes_logo.svg
New York Times,change,132,nytimes_logo.svg
New York Times,jamaat,131,nytimes_logo.svg
New York Times,died,130,nytimes_logo.svg
New York Times,collapse,130,nytimes_logo.svg
New York Times,plan,130,nytimes_logo.svg
Guardian,factory,905,guardian_logo.svg
Guardian,people,896,guardian_logo.svg
Guardian,worker,802,guardian_logo.svg
Guardian,country,680,guardian_logo.svg
Guardian,government,673,guardian_logo.svg
Guardian,england,623,guardian_logo.svg
Guardian,world,545,guardian_logo.svg
Guardian,dhaka,517,guardian_logo.svg
Guardian,garment,478,guardian_logo.svg
Guardian,international,443,guardian_logo.svg
Guardian,woman,436,guardian_logo.svg
Guardian,work,428,guardian_logo.svg
Guardian,right,418,guardian_logo.svg
Guardian,safety,416,guardian_logo.svg
Guardian,bangladeshi,413,guardian_logo.svg
Guardian,building,395,guardian_logo.svg
Guardian,child,384,guardian_logo.svg
Guardian,group,373,guardian_logo.svg
Guardian,family,363,guardian_logo.svg
Guardian,just,346,guardian_logo.svg
Guardian,water,329,guardian_logo.svg
Guardian,home,326,guardian_logo.svg
Guardian,police,325,guardian_logo.svg
Guardian,test,300,guardian_logo.svg
Guardian,team,292,guardian_logo.svg
Guardian,india,286,guardian_logo.svg
Guardian,life,277,guardian_logo.svg
Guardian,brand,275,guardian_logo.svg
Guardian,run,269,guardian_logo.svg
Guardian,ball,264,guardian_logo.svg
Guardian,company,263,guardian_logo.svg
Guardian,condition,262,guardian_logo.svg
Guardian,rohingya,261,guardian_logo.svg
Guardian,cricket,258,guardian_logo.svg
Guardian,industry,258,guardian_logo.svg
Guardian,refugee,254,guardian_logo.svg
Guardian,game,247,guardian_logo.svg
Guardian,million,247,guardian_logo.svg
Guardian,party,241,guardian_logo.svg
Guardian,working,241,guardian_logo.svg
Guardian,local,240,guardian_logo.svg
Guardian,attack,240,guardian_logo.svg
Guardian,need,239,guardian_logo.svg
Guardian,death,237,guardian_logo.svg
Guardian,series,233,guardian_logo.svg
Guardian,player,227,guardian_logo.svg
Guardian,killed,223,guardian_logo.svg
Guardian,security,222,guardian_logo.svg
Guardian,retailer,221,guardian_logo.svg
Guardian,camp,220,guardian_logo.svg
Guardian,change,217,guardian_logo.svg
Guardian,want,214,guardian_logo.svg
Guardian,place,212,guardian_logo.svg
Guardian,match,211,guardian_logo.svg
Guardian,good,210,guardian_logo.svg
Guardian,man,207,guardian_logo.svg
Guardian,rana plaza,206,guardian_logo.svg
Guardian,pakistan,201,guardian_logo.svg
Guardian,past,197,guardian_logo.svg
Guardian,accord,197,guardian_logo.svg
Guardian,tour,193,guardian_logo.svg
Guardian,end,189,guardian_logo.svg
Guardian,set,189,guardian_logo.svg
Guardian,development,187,guardian_logo.svg
Guardian,leader,187,guardian_logo.svg
Guardian,area,186,guardian_logo.svg
Guardian,owner,186,guardian_logo.svg
Guardian,global,185,guardian_logo.svg
Guardian,political,185,guardian_logo.svg
Guardian,community,183,guardian_logo.svg
Guardian,pay,183,guardian_logo.svg
Guardian,human,182,guardian_logo.svg
Guardian,official,182,guardian_logo.svg
Guardian,report,180,guardian_logo.svg
Guardian,know,180,guardian_logo.svg
Guardian,number,177,guardian_logo.svg
Guardian,union,176,guardian_logo.svg
Guardian,protest,173,guardian_logo.svg
Guardian,collapse,173,guardian_logo.svg
Guardian,health,171,guardian_logo.svg
Guardian,help,170,guardian_logo.svg
Guardian,support,170,guardian_logo.svg
Guardian,high,169,guardian_logo.svg
Guardian,war,169,guardian_logo.svg
Guardian,violence,167,guardian_logo.svg
Guardian,order,167,guardian_logo.svg
Guardian,australia,166,guardian_logo.svg
Guardian,long,165,guardian_logo.svg
Guardian,state,163,guardian_logo.svg
Guardian,labour,163,guardian_logo.svg
Guardian,director,162,guardian_logo.svg
Guardian,problem,162,guardian_logo.svg
Guardian,wage,162,guardian_logo.svg
Guardian,wicket,161,guardian_logo.svg
Guardian,city,161,guardian_logo.svg
Guardian,member,161,guardian_logo.svg
Guardian,election,158,guardian_logo.svg
